Team,Year,Pts/G,RYds/G,PYds/G,Yds/G,Passing TD,Int,Sacks Given Up,Avg,Rushing TD,Rushing First Downs,Defensive Pts/G,Defensive RYds/G,Defensive PYds/G,Defensive Yds/G,Passing TD Allowed,Defensive Int,Sacks,Avg YPC Allowed,Rushing TD Allowed
Dallas Cowboys,2007,28.4,109.1,256.6,365.7,36,19,25,4.17,14,83,20.3,94.6,213.1,307.6,19,19,46,3.97,12
Green Bay Packers,2007,27.2,99.8,270.9,370.7,30,15,19,4.12,13,69,18.2,102.9,210.4,313.3,23,19,36,3.88,6
Indianapolis Colts,2007,28.1,106.6,252.1,358.7,32,14,23,3.83,19,119,16.4,106.9,172.8,279.7,16,22,28,3.77,10
Jacksonville Jaguars,2007,25.7,149.4,208,357.4,28,8,31,4.58,18,127,19,100.3,213.5,313.8,20,20,37,4.12,12
New England Patriots,2007,36.8,115.6,295.7,411.2,50,9,21,4.1,17,124,17.1,98.2,190.1,288.3,23,19,47,4.37,7
New York Giants,2007,23.3,134.2,197.1,331.4,23,20,28,4.58,15,119,21.9,97.7,207.3,305,24,15,53,3.83,12
Pittsburgh Steelers,2007,24.6,135.5,191.9,327.4,34,14,47,4.24,9,108,16.8,89.9,176.5,266.4,22,11,36,3.98,6
San Diego Chargers,2007,25.8,127.4,187.8,315.2,22,16,24,4.2,19,104,17.8,107,213.2,320.2,20,30,42,4.12,11
Seattle Seahawks,2007,24.6,101.2,247.8,348.9,30,13,36,3.77,9,93,18.2,102.8,219.1,321.8,15,20,45,3.9,16
Tampa Bay Buccaneers,2007,20.9,117,209.8,326.8,18,8,36,4.17,15,98,16.9,107.9,170.5,278.4,18,16,33,3.8,11
Tennessee Titans,2007,18.8,131.8,179.9,311.7,9,17,30,3.88,17,118,18.6,92.4,199.2,291.6,21,22,40,4.01,11
Washington Redskins,2007,20.9,116.9,216.4,333.4,18,11,29,3.76,15,103,19.4,91.2,214,305.2,20,14,33,3.73,10
Arizona Cardinals,2008,26.7,73.6,292.1,365.8,31,15,28,3.46,14,72,26.6,110.2,221.2,331.5,36,13,31,3.96,13
Atlanta Falcons,2008,24.4,152.7,208.5,361.2,16,11,17,4.36,23,131,20.3,127.9,220.4,348.2,20,10,34,4.93,17
Baltimore Ravens,2008,24.1,148.5,175.5,324,16,12,33,4.01,20,132,15.2,81.4,179.7,261.1,17,26,34,3.56,4
Carolina Panthers,2008,25.9,152.3,197.4,349.7,15,12,20,4.84,30,118,20.6,119.5,211.7,331.2,19,12,37,4.43,14
Indianapolis Colts,2008,23.6,79.6,255.9,335.5,27,12,14,3.44,13,80,18.6,122.9,188.1,310.9,6,15,30,4.17,18
Miami Dolphins,2008,21.6,118.6,227,345.6,20,7,26,4.23,18,111,19.8,101.2,227.8,329,18,18,40,4.18,11
Minnesota Vikings,2008,23.7,146.1,184.8,330.9,22,17,43,4.5,15,119,20.8,76.9,215.6,292.4,15,12,45,3.32,10
New York Giants,2008,26.7,157.4,198.6,355.9,23,10,28,5.02,19,130,18.4,95.8,196.2,292,17,17,42,3.97,14
Philadelphia Eagles,2008,26,106.1,244.4,350.5,23,16,23,3.97,15,94,18.1,92.2,182.1,274.3,19,15,48,3.51,7
Pittsburgh Steelers,2008,21.7,105.6,206.3,311.9,19,15,49,3.67,16,93,13.9,80.2,156.9,237.2,12,20,51,3.29,7
San Diego Chargers,2008,27.4,107.9,241.1,349,34,11,25,4.1,13,92,21.7,102.6,247.4,349.9,25,15,28,4.02,11
Tennessee Titans,2008,23.4,137.4,176.2,313.6,13,9,12,4.33,24,108,14.6,93.9,199.8,293.6,12,20,44,3.73,12
Arizona Cardinals,2009,23.4,93.4,251,344.4,27,18,26,4.09,16,77,20.3,112.8,233.7,346.4,22,21,43,4.49,13
Baltimore Ravens,2009,24.4,137.5,213.7,351.2,21,13,36,4.7,22,115,16.3,93.2,207.2,300.5,17,22,32,3.43,8
Cincinnati Bengals,2009,19.1,128.5,180.6,309.1,21,13,29,4.07,9,109,18.2,98.3,203.1,301.4,18,19,34,3.94,12
Dallas Cowboys,2009,22.6,131.4,267.9,399.4,26,9,34,4.82,14,110,15.6,90.5,225.4,315.9,19,11,42,3.97,7
Green Bay Packers,2009,28.8,117.8,261.2,379.1,30,8,51,4.3,20,102,18.6,83.3,201.1,284.4,29,30,37,3.59,5
Indianapolis Colts,2009,26,80.9,282.2,363.1,34,19,13,3.54,16,69,19.2,126.5,212.7,339.2,19,16,34,4.33,10
New England Patriots,2009,26.7,120.1,277.2,397.3,28,13,18,4.12,19,114,17.8,110.5,209.7,320.2,25,18,31,4.44,6
New Orleans Saints,2009,31.9,131.6,272.2,403.8,34,12,20,4.5,21,115,21.3,122.2,235.6,357.8,15,26,35,4.49,19
Minnesota Vikings,2009,29.4,119.9,259.8,379.6,34,7,34,4.11,19,99,19.5,87.1,218.4,305.5,26,11,48,3.9,5
Philadelphia Eagles,2009,26.8,102.3,255.6,357.9,27,13,38,4.26,14,87,21.1,104.7,216.4,321.1,27,25,44,4.06,11
New York Jets,2009,21.8,172.2,148.8,321,12,21,30,4.54,21,132,14.8,98.6,153.7,252.3,8,17,32,3.76,11
San Diego Chargers,2009,28.4,88.9,271.1,360.1,29,10,26,3.33,17,80,20,117.8,209.2,327,23,14,35,4.46,10
Atlanta Falcons,2010,25.9,118.2,222.9,341.1,28,9,23,3.8,14,111,18,105.9,226.6,332.4,23,22,31,4.63,9
Baltimore Ravens,2010,22.3,114.4,208.4,322.9,25,10,40,3.76,11,97,16.9,93.9,224.9,318.9,22,19,27,3.91,5
Chicago Bears,2010,20.9,101,188.4,289.4,23,21,56,3.9,10,76,17.9,90.1,224.2,314.3,14,21,34,3.73,14
Green Bay Packers,2010,24.2,100.4,257.8,358.1,31,13,38,3.81,11,88,15,114.9,194.2,309.1,16,24,47,4.65,6
Indianapolis Colts,2010,27.2,92.7,288.1,380.8,33,17,16,3.77,13,87,24.2,127,214.6,341.6,22,10,30,4.57,14
Kansas City Chiefs,2010,22.9,164.2,185.5,349.7,27,8,32,4.72,13,129,20.4,110.2,219.9,330.2,23,14,39,4.32,11
New England Patriots,2010,32.4,123.3,240.4,363.8,37,5,25,4.35,19,119,19.6,108,258.5,366.5,25,25,36,4.22,10
New Orleans Saints,2010,24,94.9,277.6,372.5,33,22,26,4,9,94,19.2,112.3,193.9,306.2,13,9,33,4.27,13
New York Jets,2010,22.9,148.4,202.6,351,20,14,28,4.45,14,118,19,90.9,200.6,291.5,24,12,40,3.56,11
Philadelphia Eagles,2010,27.4,145.2,244.1,389.4,28,13,49,5.43,18,116,23.6,110.4,216.8,327.2,31,23,39,4.17,12
Pittsburgh Steelers,2010,23.4,120.2,225.1,345.3,22,9,43,4.08,15,106,14.5,62.8,214.1,276.8,15,21,48,3.02,5
Seattle Seahawks,2010,19.4,89,208.8,297.8,14,20,35,3.7,13,81,25.4,118.9,249.6,368.6,31,12,37,4.21,13
Atlanta Falcons,2011,25.1,114.6,262,376.6,29,13,26,4.05,14,100,21.9,97,236.6,333.6,25,19,33,4.17,10
Baltimore Ravens,2011,23.6,124.8,213.9,338.7,21,12,33,4.35,15,98,16.6,92.6,196.2,288.9,11,15,48,3.54,10
Cincinnati Bengals,2011,21.5,111.1,208.8,319.9,21,14,25,3.91,10,93,20.2,104.7,211.6,316.2,21,10,45,3.94,14
Denver Broncos,2011,19.3,164.5,152.1,316.6,20,13,42,4.82,11,129,24.4,126.3,231.5,357.8,24,9,41,4.14,11
Detroit Lions,2011,29.6,95.2,300.9,396.1,41,16,36,4.28,9,71,24.2,128.1,239.4,367.6,26,21,41,5,10
Green Bay Packers,2011,35,97.4,307.8,405.1,51,8,41,3.94,12,89,22.4,111.8,299.8,411.6,29,31,29,4.67,10
Houston Texans,2011,23.8,153,219.1,372.1,20,9,33,4.48,18,131,17.4,96,189.7,285.7,18,17,44,4.06,8
New England Patriots,2011,32.1,110.2,317.8,428,39,12,32,4.03,18,107,21.4,117.1,293.9,411.1,26,23,40,4.63,13
New Orleans Saints,2011,34.2,132.9,334.2,467.1,46,14,24,4.93,16,116,21.2,108.6,259.8,368.4,24,9,33,4.95,11
New York Giants,2011,24.6,89.2,295.9,385.1,29,16,28,3.47,17,84,25,121.2,255.1,376.4,28,20,48,4.46,15
Pittsburgh Steelers,2011,20.3,118.9,253.4,372.3,21,15,42,4.38,13,96,14.2,99.8,171.9,271.8,15,11,35,4,7
San Francisco 49ers,2011,23.8,127.8,183.1,310.9,18,5,44,4.1,14,101,14.3,77.2,230.9,308.2,20,23,42,3.5,3
Atlanta Falcons,2012,26.2,87.3,281.8,369.1,32,14,28,3.7,12,70,18.7,123.2,242.4,365.6,14,20,29,4.8,16
Baltimore Ravens,2012,24.9,118.8,233.7,352.5,22,11,38,4.28,17,98,21.5,122.8,228.1,350.9,15,13,37,3.99,15
Cincinnati Bengals,2012,24.4,109.1,223.6,332.7,28,16,46,4.06,11,95,20,107.2,212.5,319.7,16,14,51,4.05,13
Denver Broncos,2012,30.1,114.5,283.4,397.9,37,11,21,3.81,12,112,18.1,91.1,199.6,290.8,25,16,52,3.61,5
Green Bay Packers,2012,27.1,106.4,253.1,359.4,40,8,51,3.93,9,85,21,118.5,218.2,336.8,24,18,47,4.54,12
Houston Texans,2012,26,132.7,239.4,372.1,22,13,28,4.18,19,114,20.7,97.5,225.8,323.2,29,15,44,4,5
Indianapolis Colts,2012,22.3,104.4,258,362.4,23,18,41,3.8,11,110,24.2,137.5,236.8,374.2,23,12,32,5.14,14
Minnesota Vikings,2012,23.7,164.6,171.9,336.6,18,12,32,5.42,16,113,21.8,105.8,244.2,350,28,10,44,3.96,10
New England Patriots,2012,34.8,136.5,291.4,427.9,34,9,27,4.18,25,151,20.7,101.9,271.4,373.2,27,20,37,3.93,10
San Francisco 49ers,2012,24.8,155.7,206.1,361.8,23,8,41,5.06,17,128,17.1,94.2,200.2,294.4,19,14,38,3.7,7
Seattle Seahawks,2012,25.8,161.2,189.4,350.6,27,10,33,4.81,16,129,15.3,103.1,203.1,306.2,15,18,36,4.48,8
Washington Redskins,2012,27.2,169.3,213.9,383.2,24,8,33,5.22,22,144,24.2,95.8,281.9,377.7,31,21,32,4.22,11
Carolina Panthers,2013,22.9,126.6,190.2,316.8,24,13,43,4.19,14,122,15.1,86.9,214.3,301.2,17,20,60,3.95,4
Cincinnati Bengals,2013,26.9,109.7,258.5,368.2,33,20,29,3.65,14,101,19.1,96.5,209,305.5,22,20,43,4.01,6
Denver Broncos,2013,37.9,117.1,340.2,457.3,55,10,20,4.06,16,107,24.9,101.6,254.4,356,29,17,41,3.87,15
Green Bay Packers,2013,26.1,133.5,266.8,400.2,25,16,45,4.65,17,119,26.8,125,247.2,372.2,30,11,44,4.63,16
Indianapolis Colts,2013,24.4,108.9,232.8,341.8,23,10,32,4.26,15,88,21,125.1,231.9,357.1,21,15,42,4.47,14
Kansas City Chiefs,2013,26.9,128.5,208.8,337.2,24,8,41,4.65,17,110,19.1,120.2,247.6,367.8,25,21,47,4.49,9
New England Patriots,2013,27.8,129.1,255.4,384.5,25,11,40,4.39,19,110,21.1,134.1,239,373.1,25,17,48,4.46,11
New Orleans Saints,2013,25.9,92.1,307.4,399.4,39,12,37,3.77,10,87,19,111.6,194.1,305.7,20,12,49,4.62,11
Philadelphia Eagles,2013,27.6,160.4,256.9,417.2,32,9,46,5.13,19,133,23.9,104.2,289.8,394,25,19,37,3.77,12
San Diego Chargers,2013,24.8,122.8,270.5,393.3,32,11,30,4.04,9,104,21.8,107.8,258.7,366.5,23,11,35,4.59,14
San Francisco 49ers,2013,25.4,137.6,186.2,323.8,21,8,39,4.36,18,115,17,95.9,221,316.9,19,18,38,3.87,11
Seattle Seahawks,2013,26.1,136.8,202.2,339,27,9,44,4.3,14,116,14.4,101.6,172,273.6,16,28,44,3.85,4
Arizona Cardinals,2014,19.4,81.8,238,319.8,21,12,28,3.29,6,67,18.7,108.7,259.5,368.2,22,18,35,4.39,9
Baltimore Ravens,2014,25.6,126.2,238.7,364.9,27,12,19,4.51,16,113,18.9,88.2,248.7,336.9,22,11,49,3.62,8
Carolina Panthers,2014,21.2,127.2,219.4,346.7,23,12,42,4.3,10,117,23.4,112,227.8,339.8,25,14,40,4.51,14
Cincinnati Bengals,2014,22.8,134.2,213.8,348,20,17,23,4.36,19,122,21.5,116.3,243,359.3,18,20,20,4.24,16
Dallas Cowboys,2014,29.2,147.1,236.5,383.6,37,11,30,4.63,16,106,22,103.1,251.9,355.1,22,18,28,4.21,18
Denver Broncos,2014,30.1,111.6,291.3,402.9,40,15,17,4.03,15,98,22.1,79.8,225.4,305.2,29,18,41,3.66,9
Detroit Lions,2014,20.1,88.9,251.9,340.8,22,12,45,3.59,11,72,17.6,69.3,231.6,300.9,23,20,42,3.17,8
Green Bay Packers,2014,30.4,119.8,266.3,386.1,38,6,30,4.41,14,104,21.8,119.9,226.4,346.4,26,18,41,4.27,11
Indianapolis Colts,2014,28.6,100.8,305.9,406.6,42,16,29,3.88,9,80,23.1,113.4,229.3,342.7,27,12,41,4.29,14
New England Patriots,2014,29.2,107.9,257.6,365.5,34,9,26,3.94,13,96,19.6,104.3,239.8,344.1,24,16,40,3.98,6
Pittsburgh Steelers,2014,27.2,109.5,301.6,411.1,33,10,33,4.14,10,98,23,100.3,253.1,353.4,30,11,33,4.36,9
Seattle Seahawks,2014,24.6,172.6,203.1,375.8,20,7,42,5.26,20,144,15.9,81.5,185.6,267.1,17,13,37,3.43,8
